COD_ZONA_PAR,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,15,1,2,0,6,5,3,1,0,1,1,0,2,1,1,0,0,1,0,0,1,1,0
Q002,6,3,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
Q003,4,0,0,1,2,2,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1,1
Q004,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Q005,3,0,2,2,0,1,2,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Q006,4,1,2,1,6,9,1,1,1,1,1,0,3,0,3,1,1,0,0,0,1,0,0
Q007,2,0,2,0,1,1,0,2,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
Q008,5,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
Q009,1,3,2,0,0,1,1,2,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0
Q010,1,1,2,0,2,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,2
Q011,1,0,0,0,1,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Q012,0,0,2,0,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,2
Q013,1,1,2,0,2,0,0,0,2,0,0,1,6,3,3,1,0,0,0,0,0,1,0
Q014,1,2,1,0,1,0,1,0,0,0,1,0,0,3,0,0,2,0,1,0,0,1,0
Q015,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
Q016,3,0,0,1,0,1,3,1,0,0,0,0,1,1,0,4,1,0,0,0,0,0,0
Q017,7,0,2,0,1,1,0,1,0,0,1,0,1,2,0,0,4,0,1,0,0,0,0
Q018,4,0,0,0,1,2,0,0,1,0,0,1,0,1,0,0,0,1,1,3,0,0,0
Q019,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Q020,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Q021,2,0,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0
Q022,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Q023,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
